parlgov_id,country,year,tweet_count,retweet_total,populist,left_right,election_year,seats_per,gdp,pop
2,CZE,2018,2412,50419,0,7.4,0,3.5000000000000004,41049.3,10626430
16,SVN,2018,639,4039,0,6.6953,1,0,38785.5,2070050
26,CHE,2018,738,3654,0,6.3249,0,16.5,69357.5,8513227
35,CHE,2018,566,3338,0,1.8319,0,21.5,69357.5,8513227
41,DEU,2018,307,1866,0,7.4,0,0,54652.8,82914191
47,GRC,2018,724,70082,0,6.7365,0,25.166666666666664,30354.3,10725886
81,NOR,2018,1484,19140,0,1.5839,0,6.508875739644971,67639.1,5311916
94,FIN,2018,1591,9537,0,5.8027,0,24.5,49376.2,5515525
104,NOR,2018,148,1900,0,3.3706,0,28.99408284023669,67639.1,5311916
113,EST,2018,215,90,0,7.8969,0,29.7029702970297,36299.9,1321977
118,ESP,2018,11494,2073574,0,2.0183,0,0.5714285714285714,40542.2,46733038
118,ESP,2018,3507,750660,0,2.0183,0,0.5714285714285714,40542.2,46733038
137,DEU,2018,13,3,0,6.2,0,0.6160164271047228,54652.8,82914191
141,CHE,2018,853,8990,0,1.6886,0,5.5,69357.5,8513227
161,BEL,2018,1357,24772,0,2.641,0,4,52249.8,11403740
179,SVN,2018,5759,145070,1,6.9996,1,27.77777777777778,38785.5,2070050
196,CZE,2018,468,2126,0,4.123,0,0,41049.3,10626430
200,FIN,2018,755,4717,1,6.6331,0,19,49376.2,5515525
211,DNK,2018,765,6910,0,4.8736,0,4.4692737430167595,57214.8,5789957
226,ITA,2018,1534,6065,0,6.1092,1,0.6349206349206349,42790.1,60421797
234,ESP,2018,10969,122116,0,5.9789,0,0.2857142857142857,40542.2,46733038
235,NLD,2018,2301,22525,0,5.9376,0,12.666666666666668,57560.1,17231622
251,PRT,2018,266,971,0,8.0222,0,10.434782608695652,34340.8,10283822
256,BEL,2018,3210,32241,0,1.3,0,1.3333333333333337,52249.8,11403740
270,FRA,2018,9004,947196,1,9.6854,0,1.386481802426343,46398,66941698
276,HRV,2018,2446,227275,0,7.1053,0,40.397350993377486,28103.6,4080666
282,SWE,2018,1576,24565,0,7.195,1,6.303724928366762,53746.8,10175214
306,DNK,2018,1470,19697,0,0.8912,0,7.82122905027933,57214.8,5789957
308,CHE,2018,1132,9517,0,2.5,0,3.5000000000000004,69357.5,8513227
310,LUX,2018,124,650,0,2.5,1,15,116622.2,607950
311,GBR,2018,6358,145243,0,3.1183,0,0.6153846153846154,46973.3,66435550
319,GBR,2018,1643,85407,0,7.4,0,1.5384615384615383,46973.3,66435550
345,NLD,2018,3652,25292,0,4.5066,0,12.666666666666668,57560.1,17231622
357,NLD,2018,1718,86734,1,1.3682,0,9.333333333333334,57560.1,17231622
360,MLT,2018,114,1753,0,3.7895,0,0,43763,483793
363,CZE,2018,140,496,0,8.8,0,0,41049.3,10626430
382,ITA,2018,14224,2102133,0,2.6216,1,17.77777777777778,42790.1,60421797
395,FIN,2018,2656,17651,0,3.5595,0,17,49376.2,5515525
403,HUN,2018,1090,161,0,2.5,1,4.0201005025125625,31578.8,9767600
457,LUX,2018,69,139,0,0.5263,1,3.3333333333333335,116622.2,607950
467,GBR,2018,2789,524267,0,2.57,0,0.15384615384615383,46973.3,66435550
482,LTU,2018,42,7,0,7.7562,0,9.929078014184398,35831.9,2801541
